iter	Logloss
0	0.679920231
1	0.6686992987
2	0.6571366285
3	0.6452012523
4	0.6330763909
5	0.6225377045
6	0.6116311756
7	0.6011087824
8	0.5906535905
9	0.580410699
10	0.5691590786
11	0.5600155436
12	0.5503666485
13	0.541831769
14	0.5340411721
15	0.5261108288
16	0.5172595205
17	0.5101448914
18	0.5027750306
19	0.4943640786
20	0.4856527552
21	0.4773945846
22	0.4682857077
23	0.4615030441
24	0.4553042759
25	0.4490886419
26	0.4426620077
27	0.4375820766
28	0.4310191458
29	0.4250538604
30	0.4201356572
31	0.4161373607
32	0.409872626
33	0.4048722719
34	0.399275367
35	0.3942059846
36	0.3885598273
37	0.3836448621
38	0.3794350695
39	0.3743736414
40	0.3699842944
41	0.3653909665
42	0.360931326
43	0.3565097736
44	0.3524363631
45	0.3480030781
46	0.3439745061
47	0.3403618905
48	0.3372428015
49	0.3333270155
50	0.3295648198
51	0.3256546903
52	0.3220116829
53	0.3188751977
54	0.3159855929
55	0.3131311929
56	0.3101722823
57	0.3065631731
58	0.3037006304
59	0.3010294704
60	0.2977978771
61	0.2952970208
62	0.2918513576
63	0.2890541456
64	0.28562616
65	0.2829129548
66	0.2805723494
67	0.2782261765
68	0.2756896929
69	0.2727426225
70	0.2707217796
71	0.2680331986
72	0.2654759625
73	0.2637684146
74	0.2612868945
75	0.2590170965
76	0.2563644162
77	0.2545389277
78	0.2517990468
79	0.2501730114
80	0.2476911614
81	0.2462555772
82	0.2437594305
83	0.2413355901
84	0.2395254528
85	0.2378898315
86	0.2366435006
87	0.2347166407
88	0.2334463028
89	0.231808947
90	0.2299102001
91	0.2281161529
92	0.2270152824
93	0.2252425295
94	0.2230537185
95	0.2213634441
96	0.2199855703
97	0.2179854942
98	0.216994973
99	0.2155697021
100	0.2134601155
101	0.21201387
102	0.2105828328
103	0.2090199463
104	0.2073886295
105	0.2063582133
106	0.2046372339
107	0.2033357029
108	0.2019886031
109	0.201149974
110	0.1997976328
111	0.1984214019
112	0.1964397998
113	0.1954290929
114	0.1944984753
115	0.1932759497
116	0.1922598271
117	0.1911346934
118	0.1899783235
119	0.1888771811
